=== Average Execution Time (seconds) ===
Dataset Type	1000	21012	37019	110553	178450	190064	196154	279062	284684	417936	418582	424788	443944	488209	583697	585340	755511	800582	963576	1000000	
partially_sorted	0.0044	0.2211	0.4161	1.4308	2.3623	2.4908	2.6184	3.7761	3.8548	5.8995	5.4126	5.4254	5.8208	3.4187	4.0414	4.1118	5.3461	5.8135	6.7016	7.5590	
random	0.0034	0.1019	0.1980	0.6265	1.0551	1.1281	1.1689	1.7671	1.8352	2.6915	2.7017	2.7469	2.9284	3.2619	3.9186	3.8814	5.0755	5.4086	6.6009	6.9146	
reversed_sorted	0.0030	0.0973	0.1833	0.6097	1.0167	1.0894	1.1300	1.6649	1.7043	2.5703	2.5863	2.6466	2.7553	3.0296	3.6528	3.6979	5.0826	5.4296	6.5781	6.6326	
sorted_asc	0.0039	0.1059	0.1992	0.6562	1.0960	1.1757	1.2152	1.7739	1.8085	2.7557	2.7645	2.7954	2.9242	3.2292	3.9169	3.9641	5.2685	6.5079	7.1184	7.4191	
sorted_desc	0.0034	0.0967	0.3960	0.6167	1.0631	1.1105	1.1447	2.8599	3.6959	5.6218	5.5937	5.6475	5.9421	6.6062	8.0702	7.6507	10.2381	11.0330	13.5179	6.9280	

=== Average Memory Usage (MiB) ===
Dataset Type	1000	21012	37019	110553	178450	190064	196154	279062	284684	417936	418582	424788	443944	488209	583697	585340	755511	800582	963576	1000000	
partially_sorted	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
random	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
reversed_sorted	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
sorted_asc	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
sorted_desc	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
