=== Average Execution Time (seconds) ===
Dataset Type	1000	21012	37019	110553	178450	190064	196154	279062	284684	417936	418582	424788	443944	488209	583697	585340	755511	800582	963576	1000000	
partially_sorted	0.0018	0.0378	0.0676	0.2169	0.3564	0.3822	0.4003	0.5692	0.6081	0.9000	0.8960	0.9146	0.9466	1.0376	1.2731	1.2696	1.6969	1.7793	2.1700	2.1925	
random	0.0031	0.0436	0.0806	0.2586	0.4320	0.4619	0.4734	0.6890	0.7307	1.1030	1.1005	1.1178	1.1612	1.2838	1.5592	1.5624	2.0587	2.2099	2.6826	2.7817	
reversed_sorted	0.0036	0.0335	0.0593	0.1840	0.3021	0.3232	0.3334	0.4773	0.4880	0.7309	0.7294	0.7430	0.7717	0.8408	1.0353	1.0516	1.4357	1.7247	1.7717	1.7884	
sorted_asc	0.0020	0.0325	0.0581	0.1817	0.2989	0.3190	0.3303	0.4756	0.4857	0.7231	0.7258	0.7329	0.7730	0.8534	1.0287	1.0312	1.3360	1.4176	1.7460	1.7953	
sorted_desc	0.0020	0.0348	0.0606	0.1841	0.3053	0.3267	0.3373	0.4803	0.5033	0.7394	0.7380	0.7511	0.7756	0.8513	1.0840	1.1361	1.4682	1.5428	1.7817	1.7909	

=== Average Memory Usage (MiB) ===
Dataset Type	1000	21012	37019	110553	178450	190064	196154	279062	284684	417936	418582	424788	443944	488209	583697	585340	755511	800582	963576	1000000	
partially_sorted	0.01	0.02	0.19	0.00	0.20	0.64	0.00	1.09	0.00	1.31	0.62	0.01	0.14	1.04	0.75	0.01	1.59	0.88	1.54	6.97	
random	0.00	0.02	0.00	0.00	0.01	0.00	0.00	1.25	0.84	1.42	0.73	0.37	1.46	0.44	1.10	0.50	1.24	1.65	1.96	11.19	
reversed_sorted	0.00	0.04	0.10	0.01	0.06	0.00	0.01	0.46	0.26	0.63	0.42	0.05	0.36	0.40	0.47	0.40	1.76	1.57	1.70	6.46	
sorted_asc	0.00	0.02	0.06	0.09	0.00	0.00	0.00	0.85	1.61	1.69	0.67	0.13	0.51	1.00	1.07	0.94	0.67	0.82	1.14	4.72	
sorted_desc	0.00	0.02	0.16	0.26	0.08	0.77	0.00	0.49	0.00	1.93	1.21	1.20	0.95	0.40	0.07	0.38	1.37	0.05	1.63	3.11	
