=== Average Execution Time (seconds) ===
Dataset Type	1000	20730	60309	85787	95944	142025	212515	228023	283458	378531	438359	453814	494552	564370	614699	698672	911452	922141	973686	1000000	
partially_sorted	0.0010	0.0268	0.0841	0.1221	0.1369	0.2114	0.3244	0.3616	0.4603	0.6458	0.7422	0.7645	0.8486	0.9840	1.0971	1.2479	1.6608	1.8479	1.9349	2.0304	
random	0.0023	0.0313	0.1034	0.1517	0.1680	0.2667	0.4260	0.4486	0.5741	0.8047	1.0226	1.0583	1.1243	1.2917	1.4043	1.6604	2.0809	2.8594	2.5559	2.5225	
reversed_sorted	0.0025	0.0242	0.0709	0.0994	0.1153	0.1792	0.2832	0.2878	0.3552	0.5072	0.5950	0.6162	0.6704	0.7549	0.8341	0.9530	1.2684	1.2469	1.3071	1.3389	
sorted_asc	0.0016	0.0211	0.0663	0.0988	0.1120	0.1658	0.2625	0.2787	0.3471	0.4901	0.5676	0.5853	0.6339	0.7308	0.8043	0.9373	1.2284	1.2462	1.3079	1.3377	
sorted_desc	0.0014	0.0212	0.0659	0.0981	0.1120	0.1658	0.2610	0.2804	0.3474	0.4902	0.5661	0.5857	0.6298	0.7275	0.8045	0.9349	1.2345	1.2459	1.3326	1.3566	

=== Average Memory Usage (MiB) ===
Dataset Type	1000	20730	60309	85787	95944	142025	212515	228023	283458	378531	438359	453814	494552	564370	614699	698672	911452	922141	973686	1000000	
partially_sorted	0.01	0.48	0.24	0.13	0.03	0.20	0.70	0.25	0.47	0.66	0.59	0.17	0.36	0.64	0.33	0.58	1.36	0.42	0.31	0.33	
random	0.00	0.23	0.16	0.24	0.18	0.26	0.39	0.10	0.63	0.75	0.58	0.29	0.29	0.59	0.43	0.69	1.31	0.83	0.23	0.19	
reversed_sorted	0.00	0.10	0.95	1.47	0.90	0.00	0.00	0.00	0.21	0.61	0.34	0.11	0.35	1.18	0.51	0.50	1.35	0.24	0.36	0.17	
sorted_asc	0.00	0.10	0.71	1.27	0.81	0.00	0.00	0.00	0.72	0.15	0.03	0.01	0.26	0.55	0.43	0.64	1.29	0.23	0.36	0.25	
sorted_desc	0.00	0.13	0.96	1.33	1.39	0.00	0.00	0.00	0.04	0.10	0.04	0.01	0.24	0.57	0.46	0.51	1.35	0.27	0.37	0.26	
